year,Lemar
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,8
1913,9
1914,11
1915,10
1916,11
1917,12
1918,10
1919,12
1920,14
1921,8
1922,7
1923,7
1924,14
1925,13
1926,16
1927,16
1928,5
1929,10
1930,16
1931,17
1932,16
1933,16
1934,24
1935,15
1936,8
1937,10
1938,11
1939,10
1940,17
1941,5
1942,11
1943,18
1944,16
1945,9
1946,8
1947,7
1948,8
1949,9
1950,15
1951,6
1952,15
1953,13
1954,18
1955,9
1956,10
1957,14
1958,13
1959,8
1960,14
1961,15
1962,13
1963,13
1964,5
1965,13
1966,17
1967,11
1968,25
1969,10
1970,20
1971,11
1972,11
1973,15
1974,15
1975,9
1976,17
1977,26
1978,51
1979,55
1980,44
1981,41
1982,37
1983,35
1984,36
1985,44
1986,40
1987,33
1988,47
1989,44
1990,25
1991,31
1992,26
1993,19
1994,10
1995,19
1996,15
1997,17
1998,18
1999,25
2000,15
2001,13
2002,9
2003,24
2004,11
2005,18
2006,19
2007,14
2008,15
2009,17
2010,11
2011,12
2012,23
