year,Lamont (F),Lamont (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000010
1909,0.000000,0.000012
1910,0.000000,0.000000
1911,0.000000,0.000008
1912,0.000000,0.000009
1913,0.000000,0.000011
1914,0.000000,0.000011
1915,0.000000,0.000009
1916,0.000000,0.000013
1917,0.000000,0.000011
1918,0.000000,0.000014
1919,0.000000,0.000012
1920,0.000000,0.000010
1921,0.000000,0.000013
1922,0.000000,0.000014
1923,0.000000,0.000012
1924,0.000000,0.000008
1925,0.000000,0.000011
1926,0.000000,0.000011
1927,0.000000,0.000014
1928,0.000000,0.000014
1929,0.000000,0.000015
1930,0.000000,0.000019
1931,0.000000,0.000014
1932,0.000000,0.000017
1933,0.000000,0.000019
1934,0.000000,0.000016
1935,0.000000,0.000011
1936,0.000000,0.000009
1937,0.000000,0.000019
1938,0.000000,0.000020
1939,0.000000,0.000025
1940,0.000000,0.000028
1941,0.000000,0.000039
1942,0.000000,0.000038
1943,0.000000,0.000033
1944,0.000000,0.000039
1945,0.000000,0.000037
1946,0.000000,0.000047
1947,0.000000,0.000040
1948,0.000000,0.000050
1949,0.000000,0.000055
1950,0.000000,0.000056
1951,0.000000,0.000055
1952,0.000000,0.000048
1953,0.000000,0.000052
1954,0.000000,0.000058
1955,0.000000,0.000052
1956,0.000000,0.000048
1957,0.000000,0.000054
1958,0.000000,0.000056
1959,0.000000,0.000061
1960,0.000002,0.000055
1961,0.000000,0.000065
1962,0.000000,0.000066
1963,0.000000,0.000074
1964,0.000002,0.000087
1965,0.000000,0.000092
1966,0.000000,0.000099
1967,0.000001,0.000110
1968,0.000002,0.000125
1969,0.000003,0.000127
1970,0.000002,0.000148
1971,0.000003,0.000152
1972,0.000006,0.000330
1973,0.000007,0.000299
1974,0.000003,0.000271
1975,0.000004,0.000219
1976,0.000002,0.000197
1977,0.000002,0.000168
1978,0.000003,0.000171
1979,0.000003,0.000156
1980,0.000000,0.000141
1981,0.000002,0.000116
1982,0.000000,0.000105
1983,0.000001,0.000091
1984,0.000000,0.000092
1985,0.000000,0.000082
1986,0.000000,0.000092
1987,0.000000,0.000083
1988,0.000000,0.000083
1989,0.000002,0.000086
1990,0.000000,0.000079
1991,0.000000,0.000081
1992,0.000000,0.000089
1993,0.000000,0.000085
1994,0.000000,0.000077
1995,0.000000,0.000074
1996,0.000000,0.000061
1997,0.000000,0.000062
1998,0.000000,0.000061
1999,0.000000,0.000062
2000,0.000000,0.000057
2001,0.000000,0.000056
2002,0.000000,0.000050
2003,0.000000,0.000056
2004,0.000000,0.000048
2005,0.000000,0.000043
2006,0.000000,0.000048
2007,0.000000,0.000056
2008,0.000000,0.000054
2009,0.000000,0.000047
2010,0.000000,0.000047
2011,0.000000,0.000047
2012,0.000000,0.000044
