year,Lashundra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,7
1970,13
1971,23
1972,21
1973,22
1974,18
1975,36
1976,43
1977,37
1978,44
1979,65
1980,55
1981,66
1982,52
1983,47
1984,42
1985,51
1986,34
1987,44
1988,41
1989,30
1990,23
1991,27
1992,23
1993,18
1994,16
1995,13
1996,7
1997,9
1998,6
1999,8
2000,11
2001,7
2002,5
2003,5
2004,8
2005,0
2006,0
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
