year,Lawton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,7
1898,7
1899,11
1900,7
1901,9
1902,9
1903,7
1904,13
1905,7
1906,10
1907,5
1908,0
1909,0
1910,5
1911,8
1912,12
1913,16
1914,32
1915,25
1916,36
1917,31
1918,28
1919,25
1920,41
1921,35
1922,33
1923,34
1924,35
1925,26
1926,33
1927,24
1928,38
1929,28
1930,29
1931,27
1932,24
1933,25
1934,17
1935,28
1936,19
1937,32
1938,27
1939,23
1940,24
1941,24
1942,22
1943,22
1944,23
1945,17
1946,20
1947,16
1948,17
1949,21
1950,21
1951,16
1952,28
1953,25
1954,30
1955,29
1956,28
1957,23
1958,18
1959,13
1960,16
1961,19
1962,16
1963,15
1964,22
1965,15
1966,17
1967,15
1968,14
1969,17
1970,12
1971,13
1972,16
1973,13
1974,8
1975,7
1976,15
1977,13
1978,19
1979,11
1980,13
1981,11
1982,11
1983,8
1984,17
1985,12
1986,5
1987,21
1988,21
1989,9
1990,16
1991,12
1992,21
1993,25
1994,15
1995,17
1996,21
1997,18
1998,28
1999,31
2000,29
2001,24
2002,31
2003,42
2004,22
2005,33
2006,36
2007,33
2008,27
2009,36
2010,30
2011,39
2012,26
