year,Lorianne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,7
1955,13
1956,9
1957,8
1958,18
1959,14
1960,35
1961,53
1962,43
1963,74
1964,69
1965,52
1966,41
1967,53
1968,50
1969,69
1970,60
1971,58
1972,45
1973,31
1974,39
1975,43
1976,24
1977,23
1978,34
1979,39
1980,30
1981,31
1982,29
1983,17
1984,26
1985,23
1986,25
1987,29
1988,26
1989,27
1990,26
1991,29
1992,27
1993,32
1994,13
1995,13
1996,14
1997,19
1998,7
1999,15
2000,10
2001,10
2002,14
2003,11
2004,7
2005,10
2006,8
2007,16
2008,9
2009,9
2010,7
2011,6
2012,0
