year,Lucina
1880,5
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,8
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,6
1906,5
1907,0
1908,8
1909,0
1910,0
1911,0
1912,5
1913,0
1914,8
1915,6
1916,16
1917,12
1918,14
1919,12
1920,18
1921,15
1922,14
1923,11
1924,15
1925,11
1926,17
1927,7
1928,7
1929,7
1930,14
1931,8
1932,5
1933,7
1934,0
1935,6
1936,9
1937,9
1938,7
1939,5
1940,0
1941,7
1942,10
1943,5
1944,8
1945,5
1946,0
1947,12
1948,9
1949,8
1950,5
1951,11
1952,0
1953,11
1954,5
1955,9
1956,6
1957,9
1958,14
1959,8
1960,13
1961,12
1962,10
1963,14
1964,13
1965,8
1966,5
1967,15
1968,9
1969,5
1970,8
1971,9
1972,12
1973,10
1974,17
1975,9
1976,18
1977,14
1978,13
1979,14
1980,17
1981,20
1982,24
1983,15
1984,12
1985,6
1986,10
1987,10
1988,14
1989,8
1990,19
1991,13
1992,19
1993,14
1994,14
1995,17
1996,14
1997,17
1998,13
1999,23
2000,21
2001,7
2002,16
2003,15
2004,7
2005,11
2006,15
2007,12
2008,17
2009,18
2010,17
2011,17
2012,13
