year,Layna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,6
1955,10
1956,6
1957,6
1958,8
1959,10
1960,0
1961,0
1962,0
1963,9
1964,21
1965,18
1966,12
1967,12
1968,11
1969,11
1970,9
1971,12
1972,18
1973,7
1974,12
1975,9
1976,10
1977,5
1978,16
1979,8
1980,14
1981,20
1982,17
1983,9
1984,19
1985,17
1986,13
1987,13
1988,16
1989,29
1990,17
1991,14
1992,25
1993,18
1994,25
1995,22
1996,29
1997,31
1998,14
1999,33
2000,41
2001,37
2002,40
2003,61
2004,64
2005,69
2006,109
2007,87
2008,106
2009,130
2010,135
2011,112
2012,126
