year,Loleta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,6
1911,6
1912,9
1913,11
1914,18
1915,15
1916,23
1917,19
1918,25
1919,10
1920,14
1921,24
1922,20
1923,27
1924,22
1925,20
1926,26
1927,16
1928,13
1929,15
1930,12
1931,20
1932,16
1933,13
1934,11
1935,10
1936,9
1937,12
1938,19
1939,19
1940,15
1941,15
1942,20
1943,14
1944,11
1945,10
1946,14
1947,14
1948,13
1949,15
1950,18
1951,10
1952,14
1953,10
1954,11
1955,7
1956,10
1957,12
1958,16
1959,15
1960,16
1961,10
1962,10
1963,19
1964,6
1965,14
1966,14
1967,8
1968,16
1969,6
1970,16
1971,18
1972,12
1973,14
1974,10
1975,15
1976,6
1977,7
1978,16
1979,5
1980,6
1981,9
1982,7
1983,6
1984,0
1985,0
1986,0
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
