year,Laroy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,11
1913,0
1914,11
1915,12
1916,15
1917,9
1918,14
1919,8
1920,18
1921,18
1922,8
1923,22
1924,17
1925,20
1926,18
1927,20
1928,19
1929,14
1930,15
1931,19
1932,22
1933,10
1934,15
1935,10
1936,15
1937,12
1938,11
1939,10
1940,11
1941,15
1942,18
1943,14
1944,12
1945,9
1946,8
1947,10
1948,11
1949,16
1950,14
1951,11
1952,12
1953,10
1954,15
1955,11
1956,0
1957,10
1958,19
1959,12
1960,14
1961,15
1962,11
1963,15
1964,13
1965,16
1966,20
1967,12
1968,17
1969,17
1970,12
1971,17
1972,17
1973,17
1974,11
1975,12
1976,13
1977,18
1978,14
1979,24
1980,17
1981,11
1982,20
1983,24
1984,11
1985,16
1986,7
1987,14
1988,18
1989,26
1990,17
1991,16
1992,14
1993,9
1994,15
1995,9
1996,0
1997,14
1998,10
1999,8
2000,10
2001,6
2002,5
2003,0
2004,8
2005,7
2006,8
2007,0
2008,8
2009,10
2010,6
2011,8
2012,7
