year,Lamar (F),Lamar (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000058
1886,0.000000,0.000000
1887,0.000000,0.000028
1888,0.000000,0.000023
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000017
1892,0.000000,0.000030
1893,0.000000,0.000031
1894,0.000000,0.000030
1895,0.000000,0.000028
1896,0.000000,0.000020
1897,0.000000,0.000043
1898,0.000000,0.000026
1899,0.000000,0.000035
1900,0.000000,0.000036
1901,0.000000,0.000040
1902,0.000000,0.000039
1903,0.000000,0.000016
1904,0.000000,0.000025
1905,0.000000,0.000035
1906,0.000000,0.000040
1907,0.000000,0.000067
1908,0.000000,0.000039
1909,0.000000,0.000039
1910,0.000000,0.000058
1911,0.000008,0.000045
1912,0.000000,0.000053
1913,0.000004,0.000069
1914,0.000004,0.000070
1915,0.000004,0.000068
1916,0.000003,0.000086
1917,0.000003,0.000081
1918,0.000004,0.000074
1919,0.000002,0.000077
1920,0.000003,0.000081
1921,0.000000,0.000077
1922,0.000005,0.000083
1923,0.000003,0.000090
1924,0.000000,0.000099
1925,0.000003,0.000102
1926,0.000003,0.000095
1927,0.000002,0.000097
1928,0.000002,0.000103
1929,0.000004,0.000099
1930,0.000000,0.000103
1931,0.000003,0.000102
1932,0.000004,0.000108
1933,0.000000,0.000122
1934,0.000004,0.000106
1935,0.000000,0.000104
1936,0.000000,0.000095
1937,0.000002,0.000103
1938,0.000004,0.000095
1939,0.000003,0.000095
1940,0.000000,0.000092
1941,0.000000,0.000090
1942,0.000002,0.000082
1943,0.000003,0.000085
1944,0.000002,0.000083
1945,0.000000,0.000075
1946,0.000003,0.000068
1947,0.000002,0.000077
1948,0.000002,0.000082
1949,0.000003,0.000077
1950,0.000003,0.000079
1951,0.000003,0.000077
1952,0.000002,0.000073
1953,0.000003,0.000070
1954,0.000004,0.000072
1955,0.000002,0.000070
1956,0.000000,0.000066
1957,0.000003,0.000067
1958,0.000002,0.000063
1959,0.000002,0.000065
1960,0.000003,0.000064
1961,0.000004,0.000063
1962,0.000003,0.000064
1963,0.000002,0.000057
1964,0.000003,0.000066
1965,0.000003,0.000066
1966,0.000003,0.000063
1967,0.000003,0.000077
1968,0.000004,0.000089
1969,0.000005,0.000090
1970,0.000002,0.000111
1971,0.000003,0.000114
1972,0.000003,0.000135
1973,0.000003,0.000115
1974,0.000004,0.000106
1975,0.000005,0.000107
1976,0.000006,0.000119
1977,0.000005,0.000162
1978,0.000004,0.000151
1979,0.000003,0.000173
1980,0.000003,0.000178
1981,0.000002,0.000169
1982,0.000003,0.000156
1983,0.000005,0.000173
1984,0.000005,0.000157
1985,0.000003,0.000150
1986,0.000002,0.000174
1987,0.000003,0.000170
1988,0.000002,0.000181
1989,0.000003,0.000192
1990,0.000003,0.000174
1991,0.000000,0.000141
1992,0.000002,0.000129
1993,0.000000,0.000107
1994,0.000000,0.000100
1995,0.000000,0.000084
1996,0.000000,0.000081
1997,0.000000,0.000089
1998,0.000000,0.000068
1999,0.000000,0.000069
2000,0.000000,0.000075
2001,0.000000,0.000077
2002,0.000000,0.000065
2003,0.000000,0.000062
2004,0.000001,0.000068
2005,0.000000,0.000079
2006,0.000003,0.000086
2007,0.000004,0.000084
2008,0.000006,0.000078
2009,0.000008,0.000076
2010,0.000008,0.000090
2011,0.000010,0.000086
2012,0.000008,0.000079
2013,0.000014,0.000090
