year,Leda
1880,9
1881,5
1882,5
1883,7
1884,9
1885,6
1886,14
1887,10
1888,10
1889,10
1890,13
1891,13
1892,20
1893,17
1894,29
1895,24
1896,19
1897,21
1898,13
1899,21
1900,22
1901,25
1902,21
1903,19
1904,41
1905,19
1906,13
1907,19
1908,17
1909,18
1910,18
1911,18
1912,29
1913,32
1914,36
1915,41
1916,55
1917,43
1918,48
1919,43
1920,61
1921,43
1922,50
1923,45
1924,43
1925,49
1926,37
1927,45
1928,39
1929,43
1930,34
1931,33
1932,25
1933,29
1934,38
1935,42
1936,29
1937,42
1938,32
1939,30
1940,35
1941,26
1942,19
1943,28
1944,30
1945,37
1946,39
1947,42
1948,35
1949,43
1950,31
1951,51
1952,43
1953,39
1954,35
1955,36
1956,41
1957,39
1958,35
1959,39
1960,40
1961,27
1962,30
1963,32
1964,46
1965,32
1966,31
1967,28
1968,23
1969,28
1970,29
1971,18
1972,16
1973,12
1974,12
1975,12
1976,19
1977,20
1978,13
1979,14
1980,8
1981,9
1982,12
1983,13
1984,11
1985,24
1986,14
1987,9
1988,21
1989,21
1990,17
1991,6
1992,12
1993,7
1994,13
1995,8
1996,10
1997,11
1998,6
1999,11
2000,9
2001,12
2002,10
2003,7
2004,12
2005,11
2006,13
2007,13
2008,10
2009,9
2010,9
2011,14
2012,10
