year,Lurline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,8
1888,9
1889,0
1890,5
1891,9
1892,8
1893,12
1894,6
1895,10
1896,11
1897,6
1898,15
1899,8
1900,10
1901,16
1902,16
1903,17
1904,15
1905,11
1906,24
1907,17
1908,11
1909,16
1910,21
1911,16
1912,37
1913,50
1914,50
1915,69
1916,62
1917,56
1918,58
1919,54
1920,55
1921,75
1922,58
1923,51
1924,47
1925,65
1926,57
1927,53
1928,47
1929,44
1930,35
1931,27
1932,24
1933,24
1934,23
1935,30
1936,32
1937,23
1938,16
1939,14
1940,14
1941,18
1942,25
1943,26
1944,13
1945,14
1946,24
1947,15
1948,25
1949,19
1950,13
1951,15
1952,16
1953,6
1954,14
1955,17
1956,14
1957,11
1958,9
1959,15
1960,5
1961,0
1962,6
1963,0
1964,5
1965,0
1966,8
1967,0
1968,0
1969,0
1970,5
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
