year,Lauro
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,12
1914,5
1915,0
1916,5
1917,6
1918,12
1919,9
1920,9
1921,12
1922,16
1923,15
1924,20
1925,19
1926,8
1927,22
1928,9
1929,11
1930,9
1931,16
1932,11
1933,22
1934,12
1935,14
1936,12
1937,15
1938,13
1939,9
1940,15
1941,10
1942,8
1943,13
1944,13
1945,10
1946,7
1947,10
1948,18
1949,24
1950,21
1951,11
1952,17
1953,21
1954,8
1955,16
1956,15
1957,22
1958,23
1959,19
1960,17
1961,18
1962,13
1963,19
1964,18
1965,18
1966,13
1967,25
1968,18
1969,18
1970,26
1971,31
1972,17
1973,16
1974,18
1975,26
1976,29
1977,23
1978,19
1979,23
1980,33
1981,17
1982,33
1983,21
1984,20
1985,35
1986,29
1987,26
1988,27
1989,31
1990,37
1991,30
1992,38
1993,24
1994,29
1995,25
1996,39
1997,32
1998,22
1999,25
2000,48
2001,25
2002,26
2003,27
2004,26
2005,23
2006,29
2007,41
2008,27
2009,23
2010,19
2011,15
2012,17
