year,Lucien (F),Lucien (M)
1880,0.000000,0.000094
1881,0.000000,0.000057
1882,0.000000,0.000068
1883,0.000000,0.000051
1884,0.000000,0.000045
1885,0.000000,0.000058
1886,0.000000,0.000031
1887,0.000000,0.000044
1888,0.000000,0.000053
1889,0.000000,0.000042
1890,0.000000,0.000033
1891,0.000000,0.000042
1892,0.000000,0.000030
1893,0.000000,0.000040
1894,0.000000,0.000035
1895,0.000000,0.000037
1896,0.000000,0.000039
1897,0.000000,0.000037
1898,0.000000,0.000024
1899,0.000000,0.000041
1900,0.000000,0.000029
1901,0.000000,0.000023
1902,0.000000,0.000049
1903,0.000000,0.000042
1904,0.000000,0.000025
1905,0.000000,0.000042
1906,0.000000,0.000030
1907,0.000000,0.000030
1908,0.000000,0.000029
1909,0.000000,0.000059
1910,0.000000,0.000037
1911,0.000000,0.000056
1912,0.000000,0.000049
1913,0.000000,0.000069
1914,0.000000,0.000063
1915,0.000000,0.000068
1916,0.000000,0.000076
1917,0.000000,0.000059
1918,0.000000,0.000054
1919,0.000000,0.000061
1920,0.000000,0.000054
1921,0.000000,0.000060
1922,0.000000,0.000060
1923,0.000000,0.000069
1924,0.000000,0.000054
1925,0.000000,0.000057
1926,0.000000,0.000062
1927,0.000000,0.000063
1928,0.000000,0.000043
1929,0.000000,0.000037
1930,0.000000,0.000048
1931,0.000000,0.000047
1932,0.000000,0.000035
1933,0.000000,0.000038
1934,0.000000,0.000047
1935,0.000000,0.000026
1936,0.000000,0.000030
1937,0.000000,0.000022
1938,0.000000,0.000028
1939,0.000000,0.000029
1940,0.000000,0.000029
1941,0.000000,0.000030
1942,0.000000,0.000028
1943,0.000000,0.000027
1944,0.000000,0.000028
1945,0.000000,0.000021
1946,0.000000,0.000026
1947,0.000000,0.000024
1948,0.000000,0.000023
1949,0.000000,0.000021
1950,0.000000,0.000019
1951,0.000000,0.000013
1952,0.000000,0.000014
1953,0.000000,0.000014
1954,0.000000,0.000014
1955,0.000000,0.000013
1956,0.000000,0.000011
1957,0.000000,0.000013
1958,0.000000,0.000012
1959,0.000000,0.000010
1960,0.000000,0.000009
1961,0.000000,0.000011
1962,0.000000,0.000006
1963,0.000000,0.000008
1964,0.000000,0.000010
1965,0.000000,0.000008
1966,0.000000,0.000008
1967,0.000000,0.000012
1968,0.000000,0.000012
1969,0.000000,0.000009
1970,0.000000,0.000009
1971,0.000000,0.000010
1972,0.000000,0.000010
1973,0.000000,0.000009
1974,0.000000,0.000012
1975,0.000000,0.000010
1976,0.000000,0.000008
1977,0.000000,0.000010
1978,0.000000,0.000011
1979,0.000000,0.000011
1980,0.000000,0.000012
1981,0.000000,0.000010
1982,0.000000,0.000012
1983,0.000000,0.000008
1984,0.000000,0.000010
1985,0.000000,0.000012
1986,0.000000,0.000007
1987,0.000000,0.000007
1988,0.000000,0.000009
1989,0.000000,0.000009
1990,0.000000,0.000009
1991,0.000000,0.000009
1992,0.000000,0.000008
1993,0.000000,0.000008
1994,0.000000,0.000011
1995,0.000000,0.000005
1996,0.000000,0.000008
1997,0.000000,0.000010
1998,0.000000,0.000012
1999,0.000000,0.000009
2000,0.000000,0.000014
2001,0.000000,0.000022
2002,0.000000,0.000018
2003,0.000000,0.000018
2004,0.000000,0.000023
2005,0.000000,0.000029
2006,0.000001,0.000038
2007,0.000000,0.000035
2008,0.000000,0.000037
2009,0.000000,0.000040
2010,0.000000,0.000046
2011,0.000000,0.000045
2012,0.000000,0.000044
2013,0.000000,0.000048
2014,0.000000,0.000041
2015,0.000000,0.000044
2016,0.000000,0.000048
2017,0.000000,0.000047
2018,0.000000,0.000046
2019,0.000000,0.000048
2020,0.000000,0.000055
