year,Lettie
1880,62
1881,68
1882,68
1883,82
1884,72
1885,70
1886,86
1887,98
1888,90
1889,87
1890,96
1891,90
1892,102
1893,99
1894,119
1895,107
1896,98
1897,99
1898,120
1899,89
1900,143
1901,95
1902,108
1903,79
1904,81
1905,98
1906,105
1907,108
1908,116
1909,94
1910,102
1911,95
1912,95
1913,142
1914,133
1915,190
1916,168
1917,164
1918,161
1919,170
1920,152
1921,183
1922,151
1923,187
1924,200
1925,175
1926,154
1927,136
1928,103
1929,123
1930,123
1931,91
1932,113
1933,110
1934,115
1935,106
1936,98
1937,94
1938,89
1939,100
1940,75
1941,81
1942,101
1943,93
1944,75
1945,77
1946,67
1947,75
1948,91
1949,68
1950,68
1951,57
1952,76
1953,61
1954,66
1955,69
1956,55
1957,49
1958,68
1959,58
1960,43
1961,38
1962,43
1963,32
1964,39
1965,34
1966,24
1967,30
1968,20
1969,21
1970,18
1971,19
1972,18
1973,17
1974,19
1975,23
1976,11
1977,17
1978,15
1979,16
1980,11
1981,14
1982,13
1983,5
1984,9
1985,8
1986,6
1987,0
1988,10
1989,7
1990,12
1991,9
1992,0
1993,0
1994,11
1995,7
1996,9
1997,5
1998,5
1999,6
2000,0
2001,0
2002,7
2003,10
2004,0
2005,8
2006,7
2007,8
2008,6
2009,10
2010,26
2011,17
2012,34
