year,Lyman
1880,31
1881,21
1882,41
1883,26
1884,37
1885,29
1886,34
1887,23
1888,34
1889,21
1890,27
1891,30
1892,28
1893,29
1894,26
1895,21
1896,23
1897,35
1898,32
1899,33
1900,39
1901,26
1902,26
1903,33
1904,29
1905,28
1906,29
1907,32
1908,28
1909,39
1910,31
1911,45
1912,88
1913,91
1914,171
1915,180
1916,190
1917,220
1918,156
1919,164
1920,181
1921,201
1922,205
1923,191
1924,195
1925,186
1926,186
1927,150
1928,176
1929,152
1930,149
1931,121
1932,135
1933,115
1934,120
1935,126
1936,114
1937,106
1938,127
1939,119
1940,117
1941,123
1942,119
1943,128
1944,111
1945,100
1946,90
1947,119
1948,104
1949,87
1950,90
1951,92
1952,83
1953,68
1954,86
1955,85
1956,74
1957,84
1958,66
1959,70
1960,62
1961,53
1962,64
1963,58
1964,46
1965,42
1966,45
1967,36
1968,46
1969,35
1970,49
1971,40
1972,34
1973,27
1974,31
1975,26
1976,28
1977,25
1978,21
1979,26
1980,27
1981,14
1982,28
1983,26
1984,26
1985,26
1986,23
1987,18
1988,20
1989,19
1990,18
1991,25
1992,22
1993,12
1994,15
1995,10
1996,16
1997,13
1998,9
1999,6
2000,6
2001,6
2002,11
2003,9
2004,6
2005,6
2006,0
2007,7
2008,7
2009,5
2010,17
2011,6
2012,6
