year,Lemuel (F),Lemuel (M)
1880,0.000000,0.000293
1881,0.000000,0.000301
1882,0.000000,0.000194
1883,0.000000,0.000189
1884,0.000000,0.000127
1885,0.000000,0.000129
1886,0.000000,0.000145
1887,0.000000,0.000158
1888,0.000000,0.000107
1889,0.000000,0.000100
1890,0.000000,0.000093
1891,0.000000,0.000112
1892,0.000000,0.000099
1893,0.000000,0.000058
1894,0.000000,0.000083
1895,0.000000,0.000066
1896,0.000000,0.000056
1897,0.000000,0.000086
1898,0.000000,0.000058
1899,0.000000,0.000059
1900,0.000000,0.000082
1901,0.000000,0.000058
1902,0.000000,0.000054
1903,0.000000,0.000063
1904,0.000000,0.000040
1905,0.000000,0.000057
1906,0.000000,0.000084
1907,0.000000,0.000064
1908,0.000000,0.000041
1909,0.000000,0.000053
1910,0.000000,0.000049
1911,0.000000,0.000050
1912,0.000000,0.000062
1913,0.000000,0.000050
1914,0.000000,0.000064
1915,0.000000,0.000052
1916,0.000000,0.000070
1917,0.000000,0.000057
1918,0.000000,0.000056
1919,0.000000,0.000065
1920,0.000000,0.000065
1921,0.000000,0.000063
1922,0.000000,0.000062
1923,0.000000,0.000048
1924,0.000000,0.000054
1925,0.000000,0.000051
1926,0.000000,0.000053
1927,0.000000,0.000044
1928,0.000000,0.000051
1929,0.000000,0.000050
1930,0.000000,0.000046
1931,0.000000,0.000043
1932,0.000000,0.000043
1933,0.000000,0.000042
1934,0.000000,0.000042
1935,0.000000,0.000041
1936,0.000000,0.000041
1937,0.000000,0.000042
1938,0.000000,0.000047
1939,0.000000,0.000036
1940,0.000000,0.000032
1941,0.000000,0.000032
1942,0.000000,0.000031
1943,0.000000,0.000034
1944,0.000000,0.000037
1945,0.000000,0.000028
1946,0.000000,0.000027
1947,0.000000,0.000024
1948,0.000000,0.000026
1949,0.000000,0.000028
1950,0.000000,0.000025
1951,0.000000,0.000031
1952,0.000000,0.000028
1953,0.000000,0.000029
1954,0.000000,0.000026
1955,0.000000,0.000024
1956,0.000000,0.000025
1957,0.000000,0.000025
1958,0.000000,0.000018
1959,0.000000,0.000025
1960,0.000000,0.000023
1961,0.000000,0.000023
1962,0.000000,0.000023
1963,0.000000,0.000026
1964,0.000000,0.000024
1965,0.000000,0.000024
1966,0.000000,0.000024
1967,0.000000,0.000025
1968,0.000000,0.000022
1969,0.000000,0.000021
1970,0.000000,0.000020
1971,0.000000,0.000019
1972,0.000000,0.000023
1973,0.000000,0.000020
1974,0.000000,0.000022
1975,0.000000,0.000024
1976,0.000000,0.000024
1977,0.000000,0.000023
1978,0.000000,0.000014
1979,0.000000,0.000022
1980,0.000000,0.000020
1981,0.000000,0.000018
1982,0.000000,0.000022
1983,0.000000,0.000016
1984,0.000000,0.000013
1985,0.000000,0.000017
1986,0.000000,0.000016
1987,0.000000,0.000012
1988,0.000000,0.000013
1989,0.000000,0.000014
1990,0.000000,0.000014
1991,0.000000,0.000016
1992,0.000000,0.000014
1993,0.000000,0.000012
1994,0.000000,0.000016
1995,0.000000,0.000013
1996,0.000000,0.000014
1997,0.000000,0.000014
1998,0.000000,0.000013
1999,0.000000,0.000017
2000,0.000000,0.000013
2001,0.000000,0.000013
2002,0.000000,0.000012
2003,0.000000,0.000017
2004,0.000000,0.000010
2005,0.000000,0.000011
2006,0.000000,0.000016
2007,0.000000,0.000010
2008,0.000000,0.000015
2009,0.000000,0.000009
2010,0.000000,0.000014
2011,0.000000,0.000014
2012,0.000000,0.000014
2013,0.000000,0.000018
2014,0.000000,0.000019
2015,0.000000,0.000019
2016,0.000000,0.000013
2017,0.000000,0.000020
2018,0.000000,0.000023
2019,0.000000,0.000021
2020,0.000000,0.000019
