year,Lane (F),Lane (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000027
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000014
1897,0.000000,0.000014
1898,0.000000,0.000000
1899,0.000000,0.000018
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000014
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000016
1909,0.000000,0.000010
1910,0.000000,0.000012
1911,0.000000,0.000016
1912,0.000000,0.000000
1913,0.000000,0.000011
1914,0.000000,0.000013
1915,0.000000,0.000013
1916,0.000003,0.000012
1917,0.000000,0.000014
1918,0.000000,0.000013
1919,0.000000,0.000012
1920,0.000000,0.000011
1921,0.000000,0.000018
1922,0.000003,0.000020
1923,0.000000,0.000017
1924,0.000003,0.000018
1925,0.000003,0.000014
1926,0.000000,0.000019
1927,0.000000,0.000013
1928,0.000000,0.000017
1929,0.000000,0.000022
1930,0.000000,0.000024
1931,0.000000,0.000014
1932,0.000000,0.000026
1933,0.000000,0.000024
1934,0.000003,0.000022
1935,0.000003,0.000033
1936,0.000005,0.000027
1937,0.000003,0.000028
1938,0.000006,0.000035
1939,0.000007,0.000033
1940,0.000006,0.000029
1941,0.000003,0.000029
1942,0.000005,0.000030
1943,0.000009,0.000024
1944,0.000006,0.000031
1945,0.000008,0.000030
1946,0.000007,0.000037
1947,0.000007,0.000032
1948,0.000008,0.000033
1949,0.000013,0.000042
1950,0.000009,0.000046
1951,0.000013,0.000049
1952,0.000009,0.000049
1953,0.000010,0.000047
1954,0.000008,0.000046
1955,0.000008,0.000046
1956,0.000008,0.000047
1957,0.000007,0.000043
1958,0.000009,0.000048
1959,0.000007,0.000082
1960,0.000006,0.000066
1961,0.000007,0.000063
1962,0.000009,0.000067
1963,0.000005,0.000053
1964,0.000007,0.000072
1965,0.000004,0.000062
1966,0.000006,0.000062
1967,0.000007,0.000064
1968,0.000006,0.000064
1969,0.000007,0.000070
1970,0.000008,0.000064
1971,0.000005,0.000057
1972,0.000004,0.000048
1973,0.000004,0.000045
1974,0.000004,0.000051
1975,0.000008,0.000048
1976,0.000008,0.000051
1977,0.000003,0.000042
1978,0.000008,0.000041
1979,0.000011,0.000044
1980,0.000010,0.000043
1981,0.000020,0.000051
1982,0.000028,0.000049
1983,0.000020,0.000040
1984,0.000021,0.000048
1985,0.000014,0.000050
1986,0.000017,0.000062
1987,0.000013,0.000058
1988,0.000015,0.000067
1989,0.000014,0.000062
1990,0.000017,0.000083
1991,0.000014,0.000074
1992,0.000016,0.000077
1993,0.000020,0.000079
1994,0.000023,0.000185
1995,0.000018,0.000319
1996,0.000021,0.000294
1997,0.000023,0.000267
1998,0.000015,0.000260
1999,0.000020,0.000262
2000,0.000021,0.000269
2001,0.000018,0.000239
2002,0.000026,0.000263
2003,0.000023,0.000297
2004,0.000021,0.000280
2005,0.000018,0.000270
2006,0.000021,0.000249
2007,0.000018,0.000254
2008,0.000017,0.000268
2009,0.000020,0.000276
2010,0.000019,0.000288
2011,0.000020,0.000354
2012,0.000021,0.000336
2013,0.000019,0.000317
