year,Leeanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,5
1940,0
1941,0
1942,7
1943,12
1944,10
1945,11
1946,10
1947,12
1948,11
1949,9
1950,11
1951,8
1952,18
1953,14
1954,14
1955,25
1956,32
1957,26
1958,55
1959,45
1960,50
1961,57
1962,83
1963,70
1964,65
1965,72
1966,65
1967,84
1968,69
1969,66
1970,85
1971,52
1972,51
1973,53
1974,50
1975,40
1976,35
1977,46
1978,47
1979,72
1980,65
1981,78
1982,77
1983,70
1984,58
1985,62
1986,67
1987,68
1988,52
1989,65
1990,44
1991,57
1992,63
1993,55
1994,58
1995,36
1996,41
1997,39
1998,37
1999,34
2000,36
2001,28
2002,39
2003,34
2004,22
2005,31
2006,19
2007,25
2008,25
2009,21
2010,28
2011,15
2012,18
