year,Lovella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,5
1898,0
1899,0
1900,8
1901,7
1902,11
1903,7
1904,0
1905,6
1906,10
1907,0
1908,8
1909,17
1910,15
1911,15
1912,12
1913,13
1914,12
1915,23
1916,25
1917,20
1918,27
1919,33
1920,39
1921,34
1922,31
1923,17
1924,35
1925,27
1926,35
1927,24
1928,20
1929,22
1930,38
1931,26
1932,32
1933,20
1934,26
1935,25
1936,29
1937,18
1938,32
1939,19
1940,20
1941,20
1942,22
1943,22
1944,26
1945,18
1946,21
1947,18
1948,16
1949,12
1950,15
1951,16
1952,17
1953,17
1954,17
1955,15
1956,11
1957,11
1958,22
1959,12
1960,9
1961,9
1962,13
1963,11
1964,12
1965,10
1966,6
1967,14
1968,11
1969,5
1970,8
1971,0
1972,9
1973,6
1974,13
1975,9
1976,6
1977,6
1978,0
1979,9
1980,6
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,11
2009,11
2010,10
2011,13
2012,21
