year,Lorn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,6
1915,9
1916,13
1917,13
1918,9
1919,20
1920,15
1921,22
1922,20
1923,20
1924,16
1925,21
1926,19
1927,14
1928,11
1929,13
1930,13
1931,16
1932,20
1933,9
1934,11
1935,13
1936,7
1937,8
1938,8
1939,14
1940,12
1941,14
1942,8
1943,6
1944,9
1945,7
1946,10
1947,11
1948,11
1949,12
1950,12
1951,12
1952,6
1953,9
1954,10
1955,11
1956,12
1957,6
1958,11
1959,13
1960,14
1961,11
1962,10
1963,16
1964,6
1965,8
1966,5
1967,8
1968,14
1969,13
1970,12
1971,12
1972,9
1973,12
1974,7
1975,0
1976,6
1977,7
1978,7
1979,5
1980,0
1981,6
1982,5
1983,0
1984,0
1985,7
1986,6
1987,5
1988,0
1989,6
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
