year,Loida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,6
1934,0
1935,0
1936,0
1937,6
1938,0
1939,0
1940,0
1941,0
1942,7
1943,0
1944,0
1945,0
1946,5
1947,0
1948,0
1949,8
1950,0
1951,6
1952,0
1953,7
1954,12
1955,9
1956,10
1957,9
1958,10
1959,13
1960,15
1961,13
1962,12
1963,16
1964,10
1965,14
1966,14
1967,5
1968,12
1969,10
1970,8
1971,14
1972,11
1973,17
1974,13
1975,16
1976,19
1977,9
1978,8
1979,14
1980,10
1981,14
1982,9
1983,8
1984,16
1985,10
1986,10
1987,8
1988,9
1989,7
1990,12
1991,9
1992,10
1993,7
1994,21
1995,11
1996,9
1997,10
1998,0
1999,11
2000,6
2001,9
2002,0
2003,8
2004,11
2005,10
2006,7
2007,12
2008,6
2009,6
2010,0
2011,6
2012,0
