year,Lafayette (F),Lafayette (M)
1880,0.000000,0.000109
1881,0.000000,0.000109
1882,0.000000,0.000090
1883,0.000000,0.000051
1884,0.000000,0.000111
1885,0.000000,0.000095
1886,0.000000,0.000106
1887,0.000000,0.000097
1888,0.000000,0.000063
1889,0.000000,0.000055
1890,0.000000,0.000040
1891,0.000000,0.000028
1892,0.000000,0.000054
1893,0.000000,0.000028
1894,0.000000,0.000056
1895,0.000000,0.000066
1896,0.000000,0.000039
1897,0.000000,0.000052
1898,0.000000,0.000039
1899,0.000000,0.000027
1900,0.000000,0.000038
1901,0.000000,0.000014
1902,0.000000,0.000034
1903,0.000000,0.000034
1904,0.000000,0.000032
1905,0.000000,0.000019
1906,0.000000,0.000023
1907,0.000000,0.000045
1908,0.000000,0.000035
1909,0.000000,0.000022
1910,0.000000,0.000025
1911,0.000000,0.000020
1912,0.000000,0.000035
1913,0.000000,0.000036
1914,0.000000,0.000030
1915,0.000000,0.000028
1916,0.000000,0.000028
1917,0.000000,0.000032
1918,0.000000,0.000036
1919,0.000002,0.000028
1920,0.000000,0.000030
1921,0.000000,0.000037
1922,0.000000,0.000030
1923,0.000000,0.000023
1924,0.000000,0.000026
1925,0.000000,0.000026
1926,0.000000,0.000021
1927,0.000000,0.000019
1928,0.000000,0.000018
1929,0.000000,0.000021
1930,0.000000,0.000019
1931,0.000000,0.000027
1932,0.000000,0.000022
1933,0.000000,0.000030
1934,0.000002,0.000034
1935,0.000000,0.000023
1936,0.000000,0.000031
1937,0.000000,0.000024
1938,0.000000,0.000020
1939,0.000000,0.000019
1940,0.000000,0.000019
1941,0.000000,0.000020
1942,0.000000,0.000017
1943,0.000000,0.000013
1944,0.000000,0.000015
1945,0.000000,0.000020
1946,0.000000,0.000017
1947,0.000000,0.000012
1948,0.000000,0.000017
1949,0.000000,0.000016
1950,0.000000,0.000015
1951,0.000000,0.000015
1952,0.000000,0.000013
1953,0.000000,0.000014
1954,0.000000,0.000013
1955,0.000000,0.000015
1956,0.000000,0.000013
1957,0.000000,0.000009
1958,0.000000,0.000011
1959,0.000000,0.000009
1960,0.000000,0.000010
1961,0.000000,0.000012
1962,0.000001,0.000014
1963,0.000000,0.000014
1964,0.000000,0.000010
1965,0.000000,0.000014
1966,0.000000,0.000011
1967,0.000000,0.000016
1968,0.000000,0.000014
1969,0.000000,0.000010
1970,0.000000,0.000011
1971,0.000000,0.000010
1972,0.000000,0.000017
1973,0.000000,0.000018
1974,0.000002,0.000014
1975,0.000000,0.000009
1976,0.000000,0.000011
1977,0.000000,0.000012
1978,0.000000,0.000014
1979,0.000000,0.000011
1980,0.000000,0.000010
1981,0.000000,0.000012
1982,0.000000,0.000008
1983,0.000000,0.000008
1984,0.000000,0.000008
1985,0.000000,0.000013
1986,0.000000,0.000008
1987,0.000000,0.000010
1988,0.000000,0.000009
1989,0.000000,0.000009
1990,0.000000,0.000008
1991,0.000000,0.000009
1992,0.000000,0.000008
1993,0.000000,0.000008
1994,0.000000,0.000010
1995,0.000000,0.000008
1996,0.000000,0.000007
1997,0.000000,0.000007
1998,0.000000,0.000006
1999,0.000000,0.000005
2000,0.000000,0.000004
2001,0.000000,0.000004
2002,0.000000,0.000002
2003,0.000000,0.000005
2004,0.000000,0.000004
2005,0.000000,0.000004
2006,0.000000,0.000004
2007,0.000000,0.000004
2008,0.000000,0.000003
2009,0.000000,0.000003
2010,0.000000,0.000004
2011,0.000000,0.000004
2012,0.000000,0.000005
