year,Leesa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,11
1948,8
1949,16
1950,21
1951,16
1952,34
1953,39
1954,51
1955,69
1956,318
1957,186
1958,202
1959,189
1960,197
1961,199
1962,133
1963,159
1964,127
1965,121
1966,122
1967,119
1968,147
1969,115
1970,92
1971,81
1972,88
1973,47
1974,41
1975,63
1976,55
1977,51
1978,45
1979,59
1980,57
1981,56
1982,41
1983,49
1984,38
1985,39
1986,48
1987,55
1988,43
1989,50
1990,41
1991,44
1992,35
1993,41
1994,33
1995,28
1996,25
1997,30
1998,21
1999,25
2000,17
2001,10
2002,13
2003,5
2004,10
2005,10
2006,0
2007,9
2008,7
2009,0
2010,0
2011,0
2012,0
