year,Lacinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,7
1947,8
1948,11
1949,14
1950,10
1951,13
1952,14
1953,22
1954,19
1955,20
1956,25
1957,24
1958,23
1959,17
1960,19
1961,26
1962,30
1963,39
1964,33
1965,24
1966,26
1967,30
1968,26
1969,34
1970,21
1971,27
1972,26
1973,19
1974,24
1975,12
1976,13
1977,14
1978,12
1979,21
1980,18
1981,23
1982,15
1983,18
1984,25
1985,23
1986,12
1987,12
1988,12
1989,17
1990,12
1991,8
1992,14
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
