year,Lorena (F),Lorena (M)
1880,0.000144,0.000000
1881,0.000140,0.000000
1882,0.000153,0.000000
1883,0.000194,0.000000
1884,0.000168,0.000000
1885,0.000203,0.000000
1886,0.000262,0.000000
1887,0.000275,0.000000
1888,0.000250,0.000000
1889,0.000263,0.000000
1890,0.000272,0.000000
1891,0.000265,0.000000
1892,0.000284,0.000000
1893,0.000295,0.000000
1894,0.000313,0.000000
1895,0.000316,0.000000
1896,0.000330,0.000000
1897,0.000337,0.000000
1898,0.000338,0.000000
1899,0.000413,0.000000
1900,0.000395,0.000000
1901,0.000376,0.000000
1902,0.000378,0.000000
1903,0.000375,0.000000
1904,0.000347,0.000000
1905,0.000342,0.000000
1906,0.000329,0.000000
1907,0.000382,0.000000
1908,0.000311,0.000000
1909,0.000331,0.000000
1910,0.000359,0.000000
1911,0.000286,0.000000
1912,0.000241,0.000000
1913,0.000228,0.000000
1914,0.000232,0.000000
1915,0.000216,0.000000
1916,0.000202,0.000000
1917,0.000217,0.000000
1918,0.000183,0.000000
1919,0.000190,0.000000
1920,0.000194,0.000000
1921,0.000181,0.000000
1922,0.000160,0.000000
1923,0.000149,0.000000
1924,0.000147,0.000000
1925,0.000136,0.000000
1926,0.000116,0.000000
1927,0.000111,0.000000
1928,0.000115,0.000000
1929,0.000114,0.000000
1930,0.000096,0.000000
1931,0.000085,0.000000
1932,0.000094,0.000000
1933,0.000088,0.000000
1934,0.000092,0.000000
1935,0.000087,0.000000
1936,0.000078,0.000000
1937,0.000092,0.000000
1938,0.000082,0.000000
1939,0.000074,0.000000
1940,0.000071,0.000000
1941,0.000070,0.000000
1942,0.000060,0.000000
1943,0.000056,0.000000
1944,0.000055,0.000000
1945,0.000058,0.000000
1946,0.000044,0.000000
1947,0.000047,0.000000
1948,0.000041,0.000000
1949,0.000042,0.000000
1950,0.000039,0.000000
1951,0.000036,0.000000
1952,0.000038,0.000000
1953,0.000034,0.000000
1954,0.000042,0.000000
1955,0.000042,0.000000
1956,0.000041,0.000000
1957,0.000046,0.000000
1958,0.000046,0.000000
1959,0.000052,0.000000
1960,0.000067,0.000000
1961,0.000072,0.000000
1962,0.000076,0.000000
1963,0.000082,0.000000
1964,0.000087,0.000000
1965,0.000095,0.000000
1966,0.000102,0.000000
1967,0.000120,0.000000
1968,0.000127,0.000000
1969,0.000130,0.000001
1970,0.000143,0.000002
1971,0.000162,0.000000
1972,0.000165,0.000000
1973,0.000198,0.000002
1974,0.000210,0.000002
1975,0.000206,0.000004
1976,0.000199,0.000000
1977,0.000182,0.000003
1978,0.000181,0.000002
1979,0.000194,0.000002
1980,0.000238,0.000004
1981,0.000209,0.000003
1982,0.000186,0.000002
1983,0.000176,0.000002
1984,0.000186,0.000003
1985,0.000207,0.000003
1986,0.000186,0.000004
1987,0.000164,0.000002
1988,0.000141,0.000004
1989,0.000153,0.000002
1990,0.000175,0.000002
1991,0.000192,0.000002
1992,0.000186,0.000003
1993,0.000177,0.000002
1994,0.000203,0.000002
1995,0.000180,0.000002
1996,0.000219,0.000002
1997,0.000184,0.000000
1998,0.000158,0.000000
1999,0.000150,0.000000
2000,0.000135,0.000000
2001,0.000123,0.000000
2002,0.000144,0.000000
2003,0.000129,0.000000
2004,0.000122,0.000000
2005,0.000127,0.000000
2006,0.000102,0.000000
2007,0.000096,0.000000
2008,0.000104,0.000000
2009,0.000075,0.000000
2010,0.000071,0.000000
2011,0.000061,0.000000
2012,0.000051,0.000000
