year,Lorrine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,8
1915,5
1916,12
1917,7
1918,15
1919,10
1920,14
1921,21
1922,18
1923,17
1924,18
1925,16
1926,13
1927,26
1928,13
1929,22
1930,24
1931,16
1932,17
1933,15
1934,8
1935,18
1936,18
1937,15
1938,13
1939,18
1940,5
1941,7
1942,17
1943,16
1944,11
1945,20
1946,16
1947,17
1948,13
1949,16
1950,20
1951,17
1952,25
1953,11
1954,20
1955,11
1956,17
1957,12
1958,18
1959,17
1960,19
1961,25
1962,10
1963,18
1964,15
1965,15
1966,17
1967,14
1968,8
1969,14
1970,11
1971,5
1972,8
1973,9
1974,0
1975,8
1976,0
1977,6
1978,0
1979,6
1980,10
1981,0
1982,0
1983,5
1984,7
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
