year,Lora (F),Lora (M)
1880,0.000367,0.000000
1881,0.000415,0.000000
1882,0.000248,0.000032
1883,0.000350,0.000000
1884,0.000296,0.000000
1885,0.000469,0.000000
1886,0.000427,0.000000
1887,0.000364,0.000032
1888,0.000357,0.000000
1889,0.000478,0.000000
1890,0.000431,0.000000
1891,0.000471,0.000000
1892,0.000419,0.000027
1893,0.000449,0.000015
1894,0.000523,0.000000
1895,0.000473,0.000000
1896,0.000501,0.000000
1897,0.000487,0.000000
1898,0.000412,0.000000
1899,0.000454,0.000000
1900,0.000391,0.000000
1901,0.000460,0.000000
1902,0.000429,0.000000
1903,0.000380,0.000000
1904,0.000357,0.000000
1905,0.000436,0.000000
1906,0.000408,0.000000
1907,0.000312,0.000000
1908,0.000342,0.000000
1909,0.000340,0.000000
1910,0.000293,0.000000
1911,0.000309,0.000000
1912,0.000248,0.000000
1913,0.000222,0.000007
1914,0.000191,0.000000
1915,0.000186,0.000003
1916,0.000189,0.000006
1917,0.000198,0.000003
1918,0.000185,0.000004
1919,0.000158,0.000004
1920,0.000165,0.000003
1921,0.000155,0.000003
1922,0.000149,0.000004
1923,0.000153,0.000003
1924,0.000152,0.000004
1925,0.000149,0.000000
1926,0.000122,0.000000
1927,0.000149,0.000003
1928,0.000131,0.000000
1929,0.000139,0.000000
1930,0.000145,0.000004
1931,0.000140,0.000004
1932,0.000138,0.000000
1933,0.000148,0.000000
1934,0.000118,0.000003
1935,0.000131,0.000000
1936,0.000129,0.000003
1937,0.000128,0.000000
1938,0.000144,0.000000
1939,0.000128,0.000003
1940,0.000122,0.000000
1941,0.000111,0.000003
1942,0.000092,0.000003
1943,0.000098,0.000000
1944,0.000098,0.000000
1945,0.000107,0.000000
1946,0.000106,0.000000
1947,0.000103,0.000000
1948,0.000116,0.000000
1949,0.000111,0.000000
1950,0.000147,0.000000
1951,0.000121,0.000000
1952,0.000137,0.000000
1953,0.000134,0.000002
1954,0.000151,0.000000
1955,0.000146,0.000000
1956,0.000167,0.000000
1957,0.000175,0.000000
1958,0.000194,0.000000
1959,0.000214,0.000000
1960,0.000290,0.000002
1961,0.000320,0.000001
1962,0.000333,0.000001
1963,0.000404,0.000000
1964,0.000406,0.000000
1965,0.000382,0.000001
1966,0.000390,0.000001
1967,0.000409,0.000002
1968,0.000448,0.000002
1969,0.000424,0.000002
1970,0.000333,0.000000
1971,0.000311,0.000000
1972,0.000283,0.000000
1973,0.000240,0.000000
1974,0.000229,0.000000
1975,0.000221,0.000002
1976,0.000216,0.000002
1977,0.000205,0.000000
1978,0.000196,0.000000
1979,0.000178,0.000000
1980,0.000155,0.000000
1981,0.000141,0.000000
1982,0.000140,0.000000
1983,0.000132,0.000000
1984,0.000122,0.000000
1985,0.000122,0.000000
1986,0.000097,0.000000
1987,0.000097,0.000001
1988,0.000082,0.000000
1989,0.000077,0.000000
1990,0.000068,0.000000
1991,0.000052,0.000000
1992,0.000059,0.000000
1993,0.000045,0.000000
1994,0.000049,0.000000
1995,0.000042,0.000000
1996,0.000038,0.000000
1997,0.000036,0.000000
1998,0.000027,0.000000
1999,0.000031,0.000000
2000,0.000033,0.000000
2001,0.000027,0.000000
2002,0.000021,0.000000
2003,0.000023,0.000000
2004,0.000027,0.000000
2005,0.000024,0.000000
2006,0.000018,0.000000
2007,0.000018,0.000000
2008,0.000015,0.000000
2009,0.000018,0.000000
2010,0.000014,0.000000
2011,0.000015,0.000000
2012,0.000016,0.000000
2013,0.000017,0.000000
2014,0.000018,0.000000
2015,0.000017,0.000000
2016,0.000017,0.000000
2017,0.000014,0.000000
2018,0.000016,0.000000
2019,0.000012,0.000000
2020,0.000021,0.000000
