year,Leonora
1880,26
1881,23
1882,19
1883,18
1884,21
1885,27
1886,22
1887,24
1888,41
1889,31
1890,37
1891,26
1892,31
1893,42
1894,46
1895,41
1896,36
1897,33
1898,45
1899,36
1900,40
1901,35
1902,35
1903,36
1904,29
1905,25
1906,25
1907,34
1908,40
1909,37
1910,49
1911,67
1912,63
1913,83
1914,86
1915,110
1916,117
1917,95
1918,133
1919,113
1920,118
1921,124
1922,120
1923,120
1924,138
1925,136
1926,132
1927,135
1928,121
1929,117
1930,85
1931,73
1932,72
1933,74
1934,85
1935,58
1936,66
1937,84
1938,63
1939,57
1940,68
1941,73
1942,66
1943,63
1944,45
1945,45
1946,61
1947,57
1948,65
1949,64
1950,71
1951,47
1952,57
1953,46
1954,53
1955,67
1956,76
1957,62
1958,72
1959,58
1960,60
1961,60
1962,55
1963,59
1964,57
1965,35
1966,42
1967,43
1968,51
1969,51
1970,48
1971,49
1972,36
1973,42
1974,38
1975,25
1976,25
1977,40
1978,39
1979,18
1980,31
1981,23
1982,16
1983,22
1984,18
1985,26
1986,22
1987,17
1988,29
1989,26
1990,22
1991,18
1992,18
1993,18
1994,10
1995,11
1996,10
1997,15
1998,13
1999,15
2000,21
2001,16
2002,16
2003,21
2004,21
2005,31
2006,29
2007,28
2008,14
2009,31
2010,27
2011,25
2012,29
