year,Ladonna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,5
1905,0
1906,0
1907,7
1908,5
1909,0
1910,5
1911,0
1912,5
1913,13
1914,9
1915,26
1916,23
1917,31
1918,28
1919,22
1920,22
1921,29
1922,36
1923,51
1924,51
1925,50
1926,79
1927,88
1928,106
1929,118
1930,132
1931,158
1932,143
1933,170
1934,161
1935,140
1936,165
1937,182
1938,178
1939,158
1940,171
1941,174
1942,208
1943,207
1944,192
1945,170
1946,263
1947,299
1948,319
1949,290
1950,322
1951,328
1952,338
1953,328
1954,355
1955,338
1956,458
1957,418
1958,378
1959,527
1960,529
1961,513
1962,570
1963,527
1964,612
1965,555
1966,439
1967,560
1968,584
1969,534
1970,546
1971,478
1972,503
1973,444
1974,359
1975,353
1976,306
1977,289
1978,285
1979,303
1980,312
1981,307
1982,302
1983,266
1984,286
1985,283
1986,228
1987,193
1988,166
1989,152
1990,129
1991,103
1992,87
1993,85
1994,73
1995,37
1996,42
1997,44
1998,28
1999,30
2000,33
2001,29
2002,21
2003,19
2004,18
2005,19
2006,12
2007,18
2008,11
2009,17
2010,18
2011,6
2012,8
