year,Lizbeth
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,6
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,9
1946,27
1947,34
1948,47
1949,37
1950,57
1951,53
1952,63
1953,54
1954,65
1955,72
1956,63
1957,64
1958,73
1959,68
1960,52
1961,46
1962,44
1963,51
1964,44
1965,46
1966,43
1967,32
1968,43
1969,51
1970,51
1971,36
1972,40
1973,48
1974,43
1975,56
1976,40
1977,57
1978,66
1979,75
1980,87
1981,103
1982,80
1983,89
1984,77
1985,93
1986,135
1987,151
1988,180
1989,248
1990,358
1991,347
1992,427
1993,406
1994,472
1995,493
1996,451
1997,454
1998,633
1999,944
2000,817
2001,795
2002,2580
2003,2283
2004,1428
2005,1192
2006,1018
2007,1132
2008,881
2009,834
2010,594
2011,536
2012,470
