year,Leighton (F),Leighton (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000015
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000018
1900,0.000000,0.000013
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000015
1908,0.000000,0.000023
1909,0.000000,0.000014
1910,0.000000,0.000000
1911,0.000000,0.000012
1912,0.000000,0.000020
1913,0.000000,0.000015
1914,0.000000,0.000020
1915,0.000000,0.000015
1916,0.000000,0.000016
1917,0.000000,0.000020
1918,0.000000,0.000020
1919,0.000000,0.000015
1920,0.000000,0.000019
1921,0.000000,0.000021
1922,0.000000,0.000020
1923,0.000000,0.000025
1924,0.000000,0.000021
1925,0.000000,0.000019
1926,0.000000,0.000016
1927,0.000000,0.000016
1928,0.000000,0.000018
1929,0.000000,0.000019
1930,0.000000,0.000019
1931,0.000000,0.000021
1932,0.000000,0.000018
1933,0.000000,0.000013
1934,0.000000,0.000016
1935,0.000000,0.000014
1936,0.000000,0.000017
1937,0.000000,0.000012
1938,0.000000,0.000018
1939,0.000000,0.000015
1940,0.000000,0.000017
1941,0.000000,0.000015
1942,0.000000,0.000017
1943,0.000000,0.000015
1944,0.000000,0.000017
1945,0.000000,0.000017
1946,0.000000,0.000017
1947,0.000000,0.000010
1948,0.000000,0.000010
1949,0.000000,0.000012
1950,0.000000,0.000012
1951,0.000000,0.000010
1952,0.000000,0.000013
1953,0.000000,0.000011
1954,0.000000,0.000011
1955,0.000000,0.000010
1956,0.000001,0.000011
1957,0.000000,0.000007
1958,0.000000,0.000006
1959,0.000000,0.000007
1960,0.000000,0.000009
1961,0.000000,0.000006
1962,0.000000,0.000009
1963,0.000000,0.000010
1964,0.000000,0.000005
1965,0.000000,0.000005
1966,0.000000,0.000008
1967,0.000000,0.000008
1968,0.000000,0.000010
1969,0.000000,0.000011
1970,0.000000,0.000007
1971,0.000000,0.000010
1972,0.000000,0.000010
1973,0.000000,0.000013
1974,0.000000,0.000013
1975,0.000000,0.000014
1976,0.000000,0.000014
1977,0.000000,0.000010
1978,0.000000,0.000014
1979,0.000000,0.000017
1980,0.000000,0.000012
1981,0.000000,0.000016
1982,0.000001,0.000015
1983,0.000001,0.000016
1984,0.000002,0.000015
1985,0.000002,0.000015
1986,0.000003,0.000014
1987,0.000002,0.000014
1988,0.000002,0.000017
1989,0.000002,0.000020
1990,0.000002,0.000018
1991,0.000003,0.000020
1992,0.000004,0.000030
1993,0.000002,0.000024
1994,0.000004,0.000026
1995,0.000007,0.000025
1996,0.000009,0.000030
1997,0.000012,0.000025
1998,0.000010,0.000029
1999,0.000009,0.000029
2000,0.000010,0.000027
2001,0.000008,0.000029
2002,0.000008,0.000034
2003,0.000008,0.000031
2004,0.000008,0.000026
2005,0.000010,0.000033
2006,0.000009,0.000037
2007,0.000013,0.000035
2008,0.000054,0.000040
2009,0.000113,0.000046
2010,0.000122,0.000059
2011,0.000150,0.000060
2012,0.000143,0.000050
2013,0.000150,0.000051
2014,0.000153,0.000065
2015,0.000184,0.000071
2016,0.000206,0.000073
2017,0.000187,0.000067
2018,0.000203,0.000077
2019,0.000218,0.000105
2020,0.000234,0.000099
