year,Liberty
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,0
1914,7
1915,0
1916,13
1917,51
1918,164
1919,25
1920,20
1921,28
1922,11
1923,8
1924,8
1925,6
1926,8
1927,7
1928,0
1929,5
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,0
1938,0
1939,0
1940,0
1941,5
1942,9
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,10
1958,0
1959,0
1960,0
1961,0
1962,7
1963,5
1964,9
1965,5
1966,9
1967,7
1968,0
1969,0
1970,31
1971,35
1972,39
1973,43
1974,85
1975,105
1976,337
1977,73
1978,72
1979,64
1980,70
1981,55
1982,48
1983,52
1984,36
1985,37
1986,104
1987,44
1988,44
1989,47
1990,59
1991,63
1992,69
1993,71
1994,68
1995,113
1996,84
1997,102
1998,139
1999,176
2000,191
2001,318
2002,589
2003,577
2004,750
2005,622
2006,550
2007,469
2008,495
2009,583
2010,587
2011,510
2012,481
