year,Lindi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,0
1948,6
1949,0
1950,5
1951,11
1952,6
1953,15
1954,8
1955,12
1956,17
1957,15
1958,15
1959,21
1960,15
1961,30
1962,9
1963,10
1964,21
1965,6
1966,9
1967,9
1968,14
1969,11
1970,6
1971,17
1972,15
1973,16
1974,26
1975,16
1976,16
1977,28
1978,32
1979,37
1980,28
1981,31
1982,25
1983,38
1984,27
1985,38
1986,29
1987,21
1988,23
1989,26
1990,23
1991,23
1992,14
1993,13
1994,11
1995,11
1996,13
1997,13
1998,15
1999,10
2000,10
2001,9
2002,13
2003,13
2004,12
2005,14
2006,10
2007,18
2008,8
2009,0
2010,10
2011,0
2012,6
