year,Lavonna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,6
1921,9
1922,8
1923,12
1924,12
1925,14
1926,10
1927,17
1928,19
1929,23
1930,27
1931,23
1932,18
1933,27
1934,29
1935,28
1936,24
1937,38
1938,21
1939,34
1940,27
1941,21
1942,16
1943,31
1944,21
1945,24
1946,29
1947,22
1948,29
1949,33
1950,23
1951,38
1952,30
1953,36
1954,39
1955,28
1956,36
1957,40
1958,40
1959,31
1960,45
1961,41
1962,39
1963,48
1964,30
1965,30
1966,45
1967,47
1968,27
1969,32
1970,27
1971,32
1972,22
1973,12
1974,16
1975,16
1976,22
1977,10
1978,21
1979,18
1980,19
1981,22
1982,13
1983,18
1984,12
1985,18
1986,16
1987,19
1988,13
1989,12
1990,29
1991,17
1992,29
1993,18
1994,14
1995,0
1996,5
1997,10
1998,12
1999,8
2000,0
2001,5
2002,7
2003,5
2004,0
2005,9
2006,0
2007,10
2008,6
2009,0
2010,0
2011,0
2012,0
