year,Ludwig
1880,9
1881,0
1882,6
1883,6
1884,9
1885,8
1886,11
1887,5
1888,6
1889,7
1890,10
1891,7
1892,12
1893,15
1894,6
1895,15
1896,12
1897,16
1898,5
1899,10
1900,10
1901,5
1902,13
1903,13
1904,5
1905,15
1906,9
1907,6
1908,20
1909,9
1910,16
1911,23
1912,34
1913,49
1914,58
1915,75
1916,88
1917,78
1918,67
1919,67
1920,61
1921,54
1922,66
1923,53
1924,54
1925,39
1926,50
1927,60
1928,41
1929,46
1930,37
1931,49
1932,39
1933,44
1934,33
1935,37
1936,38
1937,38
1938,38
1939,28
1940,25
1941,19
1942,20
1943,18
1944,18
1945,20
1946,21
1947,27
1948,11
1949,19
1950,13
1951,17
1952,18
1953,24
1954,16
1955,19
1956,15
1957,21
1958,17
1959,15
1960,8
1961,14
1962,12
1963,23
1964,14
1965,16
1966,11
1967,10
1968,16
1969,8
1970,9
1971,7
1972,10
1973,0
1974,9
1975,6
1976,9
1977,9
1978,9
1979,8
1980,6
1981,6
1982,11
1983,12
1984,7
1985,5
1986,6
1987,6
1988,15
1989,8
1990,6
1991,10
1992,9
1993,8
1994,9
1995,6
1996,11
1997,6
1998,7
1999,7
2000,9
2001,5
2002,7
2003,0
2004,9
2005,10
2006,8
2007,7
2008,6
2009,10
2010,5
2011,9
2012,10
