year,Lorelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,5
1917,6
1918,0
1919,8
1920,8
1921,5
1922,0
1923,6
1924,6
1925,8
1926,7
1927,0
1928,5
1929,5
1930,8
1931,7
1932,8
1933,9
1934,9
1935,10
1936,12
1937,5
1938,9
1939,6
1940,6
1941,6
1942,0
1943,11
1944,7
1945,6
1946,9
1947,8
1948,7
1949,13
1950,13
1951,9
1952,14
1953,9
1954,18
1955,11
1956,6
1957,11
1958,14
1959,10
1960,16
1961,16
1962,6
1963,8
1964,19
1965,11
1966,12
1967,0
1968,7
1969,13
1970,13
1971,10
1972,12
1973,10
1974,14
1975,12
1976,10
1977,11
1978,8
1979,20
1980,20
1981,7
1982,0
1983,8
1984,8
1985,10
1986,9
1987,16
1988,13
1989,9
1990,10
1991,5
1992,16
1993,15
1994,5
1995,8
1996,12
1997,8
1998,9
1999,6
2000,0
2001,10
2002,10
2003,11
2004,7
2005,6
2006,13
2007,0
2008,8
2009,5
2010,15
2011,8
2012,5
