year,Libbie
1880,19
1881,20
1882,15
1883,15
1884,20
1885,18
1886,22
1887,21
1888,30
1889,24
1890,24
1891,16
1892,27
1893,29
1894,21
1895,22
1896,23
1897,28
1898,18
1899,20
1900,23
1901,14
1902,19
1903,13
1904,19
1905,29
1906,31
1907,9
1908,17
1909,22
1910,20
1911,20
1912,31
1913,46
1914,33
1915,49
1916,45
1917,48
1918,34
1919,36
1920,33
1921,32
1922,29
1923,19
1924,23
1925,17
1926,20
1927,16
1928,23
1929,19
1930,9
1931,10
1932,15
1933,17
1934,15
1935,10
1936,0
1937,10
1938,5
1939,14
1940,10
1941,16
1942,10
1943,9
1944,11
1945,9
1946,16
1947,20
1948,14
1949,14
1950,16
1951,19
1952,19
1953,11
1954,14
1955,12
1956,23
1957,18
1958,12
1959,17
1960,10
1961,20
1962,15
1963,9
1964,19
1965,10
1966,8
1967,17
1968,21
1969,11
1970,8
1971,7
1972,8
1973,9
1974,8
1975,11
1976,9
1977,14
1978,5
1979,0
1980,6
1981,5
1982,0
1983,7
1984,5
1985,6
1986,8
1987,5
1988,5
1989,9
1990,6
1991,0
1992,6
1993,12
1994,13
1995,11
1996,14
1997,19
1998,18
1999,12
2000,16
2001,26
2002,20
2003,30
2004,31
2005,40
2006,26
2007,32
2008,26
2009,31
2010,21
2011,21
2012,26
