year,Lota
1880,0
1881,7
1882,6
1883,5
1884,0
1885,6
1886,7
1887,0
1888,5
1889,9
1890,8
1891,6
1892,6
1893,7
1894,5
1895,6
1896,12
1897,15
1898,11
1899,0
1900,12
1901,6
1902,9
1903,9
1904,8
1905,10
1906,5
1907,17
1908,10
1909,6
1910,13
1911,9
1912,20
1913,17
1914,9
1915,7
1916,19
1917,17
1918,13
1919,13
1920,15
1921,10
1922,17
1923,15
1924,15
1925,10
1926,12
1927,14
1928,10
1929,6
1930,9
1931,12
1932,16
1933,10
1934,10
1935,0
1936,6
1937,7
1938,5
1939,5
1940,5
1941,6
1942,6
1943,0
1944,0
1945,0
1946,8
1947,7
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
