year,Leigh (F),Leigh (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000029
1886,0.000000,0.000031
1887,0.000000,0.000024
1888,0.000000,0.000023
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000017
1892,0.000000,0.000027
1893,0.000000,0.000000
1894,0.000000,0.000024
1895,0.000000,0.000023
1896,0.000000,0.000020
1897,0.000000,0.000023
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000012
1907,0.000000,0.000013
1908,0.000000,0.000010
1909,0.000000,0.000000
1910,0.000000,0.000010
1911,0.000000,0.000014
1912,0.000009,0.000018
1913,0.000000,0.000015
1914,0.000004,0.000011
1915,0.000003,0.000017
1916,0.000003,0.000011
1917,0.000005,0.000016
1918,0.000003,0.000014
1919,0.000003,0.000019
1920,0.000004,0.000015
1921,0.000005,0.000014
1922,0.000004,0.000013
1923,0.000005,0.000018
1924,0.000005,0.000018
1925,0.000004,0.000016
1926,0.000006,0.000016
1927,0.000004,0.000018
1928,0.000003,0.000022
1929,0.000004,0.000014
1930,0.000006,0.000016
1931,0.000008,0.000017
1932,0.000005,0.000014
1933,0.000004,0.000011
1934,0.000004,0.000018
1935,0.000004,0.000022
1936,0.000004,0.000026
1937,0.000006,0.000027
1938,0.000010,0.000024
1939,0.000008,0.000019
1940,0.000012,0.000028
1941,0.000014,0.000025
1942,0.000019,0.000025
1943,0.000012,0.000027
1944,0.000017,0.000023
1945,0.000028,0.000029
1946,0.000039,0.000027
1947,0.000032,0.000029
1948,0.000035,0.000027
1949,0.000047,0.000030
1950,0.000047,0.000023
1951,0.000050,0.000023
1952,0.000050,0.000027
1953,0.000063,0.000027
1954,0.000080,0.000025
1955,0.000115,0.000031
1956,0.000148,0.000024
1957,0.000147,0.000020
1958,0.000150,0.000022
1959,0.000161,0.000019
1960,0.000185,0.000019
1961,0.000203,0.000020
1962,0.000221,0.000019
1963,0.000248,0.000019
1964,0.000270,0.000020
1965,0.000240,0.000017
1966,0.000280,0.000020
1967,0.000395,0.000026
1968,0.000422,0.000024
1969,0.000450,0.000022
1970,0.000412,0.000024
1971,0.000415,0.000022
1972,0.000385,0.000019
1973,0.000357,0.000016
1974,0.000403,0.000012
1975,0.000353,0.000019
1976,0.000306,0.000018
1977,0.000300,0.000020
1978,0.000289,0.000017
1979,0.000338,0.000020
1980,0.000342,0.000018
1981,0.000318,0.000023
1982,0.000273,0.000023
1983,0.000249,0.000017
1984,0.000253,0.000018
1985,0.000217,0.000016
1986,0.000202,0.000014
1987,0.000185,0.000016
1988,0.000193,0.000012
1989,0.000157,0.000010
1990,0.000132,0.000007
1991,0.000114,0.000008
1992,0.000110,0.000006
1993,0.000098,0.000003
1994,0.000077,0.000004
1995,0.000063,0.000004
1996,0.000060,0.000003
1997,0.000053,0.000004
1998,0.000040,0.000002
1999,0.000040,0.000003
2000,0.000033,0.000004
2001,0.000031,0.000003
2002,0.000022,0.000002
2003,0.000022,0.000002
2004,0.000019,0.000002
2005,0.000016,0.000002
2006,0.000016,0.000000
2007,0.000011,0.000002
2008,0.000015,0.000001
2009,0.000016,0.000001
2010,0.000014,0.000002
2011,0.000012,0.000000
2012,0.000011,0.000002
2013,0.000013,0.000000
2014,0.000015,0.000002
2015,0.000013,0.000002
2016,0.000017,0.000001
2017,0.000017,0.000000
2018,0.000013,0.000002
2019,0.000017,0.000000
2020,0.000011,0.000003
