year,Lavonda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,8
1922,6
1923,6
1924,7
1925,9
1926,11
1927,7
1928,0
1929,15
1930,14
1931,16
1932,15
1933,12
1934,19
1935,19
1936,11
1937,23
1938,24
1939,23
1940,25
1941,18
1942,21
1943,34
1944,25
1945,18
1946,24
1947,29
1948,32
1949,28
1950,37
1951,42
1952,38
1953,67
1954,43
1955,36
1956,48
1957,46
1958,60
1959,63
1960,82
1961,76
1962,73
1963,84
1964,97
1965,120
1966,94
1967,94
1968,124
1969,114
1970,111
1971,105
1972,96
1973,103
1974,85
1975,87
1976,77
1977,58
1978,68
1979,75
1980,77
1981,71
1982,52
1983,63
1984,66
1985,56
1986,52
1987,40
1988,44
1989,53
1990,41
1991,32
1992,24
1993,14
1994,16
1995,13
1996,13
1997,11
1998,11
1999,6
2000,11
2001,6
2002,0
2003,6
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
