year,Lavonia
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,5
1890,0
1891,0
1892,6
1893,5
1894,0
1895,0
1896,0
1897,6
1898,13
1899,8
1900,5
1901,8
1902,7
1903,7
1904,5
1905,5
1906,12
1907,13
1908,13
1909,10
1910,13
1911,10
1912,8
1913,19
1914,19
1915,27
1916,19
1917,29
1918,32
1919,26
1920,35
1921,27
1922,30
1923,37
1924,30
1925,32
1926,21
1927,27
1928,27
1929,23
1930,26
1931,26
1932,23
1933,31
1934,26
1935,16
1936,35
1937,26
1938,32
1939,31
1940,21
1941,24
1942,19
1943,25
1944,18
1945,15
1946,25
1947,30
1948,36
1949,21
1950,25
1951,29
1952,17
1953,17
1954,16
1955,15
1956,28
1957,18
1958,18
1959,16
1960,20
1961,20
1962,21
1963,22
1964,17
1965,20
1966,24
1967,18
1968,21
1969,26
1970,29
1971,34
1972,34
1973,27
1974,18
1975,24
1976,17
1977,11
1978,18
1979,15
1980,13
1981,12
1982,17
1983,8
1984,10
1985,9
1986,9
1987,9
1988,15
1989,11
1990,0
1991,6
1992,5
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
