year,Ladean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,0
1916,5
1917,6
1918,7
1919,6
1920,8
1921,9
1922,9
1923,9
1924,9
1925,15
1926,13
1927,6
1928,11
1929,9
1930,13
1931,8
1932,16
1933,10
1934,7
1935,13
1936,15
1937,11
1938,17
1939,11
1940,8
1941,13
1942,11
1943,12
1944,9
1945,12
1946,13
1947,14
1948,9
1949,11
1950,7
1951,10
1952,12
1953,9
1954,16
1955,12
1956,12
1957,8
1958,12
1959,13
1960,7
1961,20
1962,6
1963,12
1964,8
1965,9
1966,6
1967,11
1968,0
1969,0
1970,5
1971,6
1972,7
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
