year,Lupe (F),Lupe (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000021,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000021,0.000000
1890,0.000020,0.000000
1891,0.000024,0.000000
1892,0.000018,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000037,0.000000
1896,0.000014,0.000000
1897,0.000037,0.000000
1898,0.000042,0.000000
1899,0.000038,0.000015
1900,0.000040,0.000020
1901,0.000043,0.000000
1902,0.000028,0.000021
1903,0.000045,0.000018
1904,0.000057,0.000015
1905,0.000083,0.000000
1906,0.000056,0.000000
1907,0.000069,0.000015
1908,0.000063,0.000000
1909,0.000070,0.000010
1910,0.000080,0.000014
1911,0.000075,0.000014
1912,0.000066,0.000018
1913,0.000068,0.000016
1914,0.000068,0.000016
1915,0.000060,0.000017
1916,0.000069,0.000018
1917,0.000082,0.000015
1918,0.000099,0.000025
1919,0.000133,0.000035
1920,0.000126,0.000027
1921,0.000129,0.000035
1922,0.000150,0.000025
1923,0.000134,0.000036
1924,0.000158,0.000041
1925,0.000157,0.000039
1926,0.000167,0.000043
1927,0.000191,0.000048
1928,0.000163,0.000042
1929,0.000195,0.000050
1930,0.000183,0.000049
1931,0.000192,0.000061
1932,0.000178,0.000057
1933,0.000188,0.000057
1934,0.000177,0.000048
1935,0.000160,0.000044
1936,0.000157,0.000043
1937,0.000153,0.000045
1938,0.000156,0.000056
1939,0.000137,0.000044
1940,0.000145,0.000043
1941,0.000128,0.000041
1942,0.000107,0.000041
1943,0.000125,0.000051
1944,0.000161,0.000051
1945,0.000142,0.000055
1946,0.000130,0.000048
1947,0.000102,0.000041
1948,0.000109,0.000042
1949,0.000090,0.000032
1950,0.000072,0.000028
1951,0.000062,0.000024
1952,0.000053,0.000021
1953,0.000060,0.000021
1954,0.000056,0.000020
1955,0.000047,0.000016
1956,0.000049,0.000017
1957,0.000056,0.000019
1958,0.000062,0.000021
1959,0.000065,0.000026
1960,0.000064,0.000021
1961,0.000066,0.000022
1962,0.000064,0.000022
1963,0.000053,0.000025
1964,0.000051,0.000017
1965,0.000051,0.000017
1966,0.000045,0.000018
1967,0.000043,0.000015
1968,0.000043,0.000015
1969,0.000039,0.000017
1970,0.000033,0.000014
1971,0.000035,0.000009
1972,0.000031,0.000012
1973,0.000036,0.000015
1974,0.000026,0.000013
1975,0.000035,0.000017
1976,0.000029,0.000014
1977,0.000029,0.000010
1978,0.000025,0.000009
1979,0.000024,0.000009
1980,0.000026,0.000010
1981,0.000019,0.000009
1982,0.000017,0.000009
1983,0.000014,0.000008
1984,0.000015,0.000007
1985,0.000011,0.000005
1986,0.000013,0.000005
1987,0.000009,0.000004
1988,0.000010,0.000004
1989,0.000010,0.000004
1990,0.000012,0.000005
1991,0.000011,0.000004
1992,0.000013,0.000003
1993,0.000011,0.000003
1994,0.000010,0.000003
1995,0.000006,0.000007
1996,0.000007,0.000003
1997,0.000009,0.000004
1998,0.000005,0.000003
1999,0.000004,0.000002
2000,0.000004,0.000004
2001,0.000006,0.000002
2002,0.000003,0.000002
2003,0.000001,0.000002
2004,0.000005,0.000004
2005,0.000004,0.000003
2006,0.000004,0.000000
2007,0.000004,0.000002
2008,0.000003,0.000003
2009,0.000004,0.000000
2010,0.000002,0.000002
2011,0.000002,0.000000
2012,0.000003,0.000001
