year,Lovetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,9
1911,7
1912,0
1913,6
1914,7
1915,17
1916,7
1917,9
1918,11
1919,8
1920,16
1921,15
1922,16
1923,15
1924,21
1925,16
1926,23
1927,14
1928,25
1929,10
1930,18
1931,15
1932,14
1933,19
1934,23
1935,16
1936,15
1937,13
1938,16
1939,20
1940,16
1941,18
1942,11
1943,15
1944,12
1945,11
1946,12
1947,15
1948,14
1949,13
1950,13
1951,15
1952,12
1953,9
1954,20
1955,20
1956,11
1957,17
1958,21
1959,16
1960,20
1961,22
1962,11
1963,17
1964,20
1965,17
1966,18
1967,10
1968,10
1969,14
1970,9
1971,8
1972,11
1973,12
1974,5
1975,11
1976,9
1977,6
1978,8
1979,0
1980,5
1981,5
1982,5
1983,8
1984,0
1985,0
1986,0
1987,7
1988,6
1989,10
1990,0
1991,7
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
