year,Leia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,7
1950,5
1951,0
1952,0
1953,0
1954,5
1955,6
1956,0
1957,0
1958,0
1959,0
1960,5
1961,17
1962,20
1963,23
1964,21
1965,31
1966,26
1967,35
1968,23
1969,19
1970,23
1971,29
1972,18
1973,14
1974,21
1975,20
1976,21
1977,98
1978,156
1979,118
1980,162
1981,126
1982,99
1983,135
1984,94
1985,86
1986,70
1987,73
1988,66
1989,63
1990,69
1991,60
1992,67
1993,65
1994,48
1995,87
1996,66
1997,105
1998,94
1999,103
2000,123
2001,125
2002,152
2003,142
2004,160
2005,206
2006,271
2007,287
2008,292
2009,340
2010,322
2011,348
2012,417
