year,Loetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,5
1917,7
1918,5
1919,5
1920,9
1921,13
1922,11
1923,7
1924,8
1925,9
1926,19
1927,14
1928,13
1929,13
1930,12
1931,10
1932,11
1933,10
1934,8
1935,18
1936,10
1937,14
1938,19
1939,10
1940,22
1941,11
1942,14
1943,16
1944,7
1945,7
1946,8
1947,8
1948,0
1949,8
1950,5
1951,0
1952,0
1953,0
1954,0
1955,7
1956,8
1957,8
1958,6
1959,11
1960,5
1961,0
1962,0
1963,8
1964,0
1965,5
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
