year,Antonette
1880,0
1881,0
1882,0
1883,5
1884,6
1885,0
1886,5
1887,7
1888,9
1889,5
1890,9
1891,6
1892,17
1893,9
1894,11
1895,16
1896,11
1897,13
1898,12
1899,21
1900,17
1901,9
1902,15
1903,19
1904,27
1905,17
1906,33
1907,38
1908,32
1909,35
1910,35
1911,37
1912,68
1913,62
1914,86
1915,141
1916,121
1917,152
1918,131
1919,138
1920,117
1921,116
1922,134
1923,132
1924,106
1925,99
1926,107
1927,104
1928,104
1929,95
1930,88
1931,84
1932,77
1933,48
1934,49
1935,47
1936,43
1937,50
1938,47
1939,48
1940,41
1941,34
1942,48
1943,59
1944,46
1945,48
1946,59
1947,61
1948,74
1949,49
1950,50
1951,56
1952,75
1953,87
1954,59
1955,68
1956,73
1957,66
1958,102
1959,74
1960,75
1961,79
1962,67
1963,70
1964,91
1965,101
1966,101
1967,91
1968,111
1969,96
1970,126
1971,92
1972,85
1973,91
1974,93
1975,67
1976,86
1977,68
1978,59
1979,70
1980,75
1981,83
1982,72
1983,66
1984,84
1985,75
1986,74
1987,78
1988,79
1989,85
1990,92
1991,80
1992,85
1993,89
1994,64
1995,49
1996,67
1997,48
1998,41
1999,36
2000,39
2001,30
2002,26
2003,26
2004,25
2005,27
2006,23
2007,19
2008,18
2009,19
2010,13
2011,6
2012,8
