year,Alyse
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,5
1912,7
1913,8
1914,10
1915,5
1916,9
1917,9
1918,10
1919,5
1920,8
1921,12
1922,7
1923,9
1924,16
1925,7
1926,0
1927,0
1928,7
1929,5
1930,0
1931,5
1932,5
1933,0
1934,5
1935,5
1936,0
1937,0
1938,0
1939,6
1940,0
1941,0
1942,0
1943,0
1944,0
1945,7
1946,9
1947,13
1948,5
1949,11
1950,16
1951,14
1952,22
1953,22
1954,22
1955,23
1956,22
1957,12
1958,15
1959,15
1960,21
1961,16
1962,25
1963,26
1964,27
1965,31
1966,32
1967,25
1968,36
1969,30
1970,35
1971,35
1972,37
1973,32
1974,28
1975,30
1976,37
1977,32
1978,31
1979,30
1980,35
1981,39
1982,36
1983,74
1984,141
1985,195
1986,299
1987,364
1988,401
1989,308
1990,241
1991,216
1992,187
1993,153
1994,121
1995,143
1996,94
1997,148
1998,130
1999,147
2000,140
2001,137
2002,147
2003,137
2004,155
2005,155
2006,191
2007,159
2008,149
2009,160
2010,143
2011,147
2012,192
