year,Angelic
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,9
1954,0
1955,0
1956,0
1957,0
1958,5
1959,0
1960,0
1961,27
1962,12
1963,12
1964,7
1965,8
1966,8
1967,17
1968,77
1969,84
1970,122
1971,134
1972,144
1973,123
1974,125
1975,132
1976,109
1977,97
1978,88
1979,83
1980,94
1981,124
1982,87
1983,69
1984,65
1985,54
1986,53
1987,42
1988,55
1989,49
1990,46
1991,65
1992,165
1993,90
1994,69
1995,72
1996,73
1997,83
1998,89
1999,59
2000,65
2001,52
2002,74
2003,64
2004,59
2005,43
2006,36
2007,71
2008,52
2009,33
2010,32
2011,43
2012,45
