year,Anitra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,6
1924,6
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,6
1932,0
1933,0
1934,0
1935,0
1936,7
1937,0
1938,11
1939,9
1940,0
1941,0
1942,6
1943,6
1944,11
1945,0
1946,10
1947,16
1948,10
1949,15
1950,10
1951,12
1952,7
1953,10
1954,17
1955,11
1956,11
1957,26
1958,48
1959,24
1960,30
1961,32
1962,48
1963,66
1964,29
1965,14
1966,26
1967,24
1968,29
1969,31
1970,20
1971,47
1972,55
1973,174
1974,398
1975,458
1976,595
1977,392
1978,188
1979,162
1980,116
1981,95
1982,109
1983,79
1984,75
1985,64
1986,60
1987,47
1988,46
1989,44
1990,59
1991,54
1992,40
1993,44
1994,30
1995,37
1996,36
1997,38
1998,32
1999,20
2000,19
2001,16
2002,17
2003,10
2004,7
2005,6
2006,11
2007,11
2008,9
2009,10
2010,6
2011,6
2012,7
