year,Alaric
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,7
1950,0
1951,0
1952,0
1953,5
1954,6
1955,0
1956,7
1957,0
1958,0
1959,12
1960,7
1961,11
1962,21
1963,19
1964,14
1965,16
1966,14
1967,15
1968,19
1969,20
1970,24
1971,17
1972,24
1973,19
1974,16
1975,16
1976,18
1977,8
1978,13
1979,18
1980,11
1981,14
1982,15
1983,18
1984,11
1985,15
1986,9
1987,13
1988,13
1989,18
1990,22
1991,18
1992,22
1993,21
1994,26
1995,22
1996,25
1997,25
1998,21
1999,39
2000,29
2001,33
2002,27
2003,32
2004,33
2005,43
2006,37
2007,36
2008,35
2009,27
2010,40
2011,50
2012,88
