year,Anson
1880,10
1881,9
1882,9
1883,9
1884,10
1885,9
1886,8
1887,6
1888,0
1889,6
1890,0
1891,10
1892,6
1893,8
1894,9
1895,6
1896,0
1897,5
1898,0
1899,0
1900,6
1901,0
1902,0
1903,6
1904,0
1905,13
1906,0
1907,0
1908,0
1909,0
1910,5
1911,11
1912,16
1913,15
1914,20
1915,33
1916,31
1917,27
1918,27
1919,29
1920,21
1921,41
1922,30
1923,24
1924,29
1925,23
1926,31
1927,26
1928,15
1929,23
1930,12
1931,15
1932,9
1933,11
1934,15
1935,20
1936,21
1937,14
1938,14
1939,18
1940,22
1941,25
1942,30
1943,19
1944,27
1945,22
1946,16
1947,20
1948,16
1949,18
1950,13
1951,15
1952,27
1953,13
1954,25
1955,31
1956,25
1957,32
1958,30
1959,26
1960,19
1961,33
1962,21
1963,24
1964,41
1965,45
1966,35
1967,44
1968,25
1969,45
1970,46
1971,26
1972,46
1973,40
1974,47
1975,63
1976,92
1977,123
1978,90
1979,62
1980,105
1981,93
1982,71
1983,63
1984,72
1985,68
1986,64
1987,72
1988,71
1989,49
1990,58
1991,53
1992,45
1993,47
1994,48
1995,48
1996,57
1997,70
1998,62
1999,69
2000,80
2001,101
2002,98
2003,111
2004,137
2005,136
2006,132
2007,146
2008,181
2009,167
2010,141
2011,161
2012,157
