year,Ariana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,0
1959,0
1960,5
1961,0
1962,7
1963,0
1964,7
1965,14
1966,25
1967,36
1968,31
1969,28
1970,43
1971,51
1972,49
1973,48
1974,54
1975,70
1976,78
1977,105
1978,153
1979,136
1980,310
1981,353
1982,373
1983,379
1984,363
1985,377
1986,425
1987,523
1988,640
1989,988
1990,1262
1991,1568
1992,1376
1993,1538
1994,1878
1995,1957
1996,2043
1997,2319
1998,2431
1999,2532
2000,3158
2001,3382
2002,3490
2003,3829
2004,4006
2005,3981
2006,4238
2007,4333
2008,3907
2009,3690
2010,3464
2011,3442
2012,3568
