year,Anamaria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,5
1946,0
1947,0
1948,0
1949,8
1950,0
1951,0
1952,0
1953,6
1954,0
1955,12
1956,0
1957,11
1958,11
1959,13
1960,22
1961,21
1962,19
1963,16
1964,24
1965,20
1966,15
1967,20
1968,14
1969,33
1970,26
1971,26
1972,20
1973,28
1974,34
1975,34
1976,31
1977,30
1978,31
1979,32
1980,42
1981,34
1982,57
1983,43
1984,38
1985,49
1986,62
1987,52
1988,45
1989,54
1990,74
1991,56
1992,62
1993,67
1994,65
1995,71
1996,60
1997,51
1998,70
1999,88
2000,80
2001,89
2002,87
2003,77
2004,69
2005,64
2006,79
2007,79
2008,84
2009,68
2010,52
2011,52
2012,46
