year,Anjali
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,6
1965,5
1966,5
1967,0
1968,10
1969,12
1970,26
1971,21
1972,13
1973,31
1974,25
1975,20
1976,22
1977,39
1978,42
1979,48
1980,41
1981,43
1982,37
1983,48
1984,41
1985,45
1986,38
1987,35
1988,46
1989,50
1990,39
1991,28
1992,55
1993,61
1994,53
1995,73
1996,95
1997,80
1998,93
1999,202
2000,230
2001,222
2002,238
2003,231
2004,210
2005,255
2006,251
2007,238
2008,247
2009,229
2010,206
2011,198
2012,177
