year,Aldon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,0
1911,0
1912,11
1913,9
1914,9
1915,12
1916,23
1917,20
1918,24
1919,29
1920,27
1921,25
1922,26
1923,23
1924,18
1925,24
1926,19
1927,16
1928,27
1929,30
1930,17
1931,17
1932,14
1933,16
1934,24
1935,13
1936,15
1937,22
1938,16
1939,19
1940,13
1941,23
1942,11
1943,22
1944,18
1945,13
1946,12
1947,20
1948,17
1949,14
1950,14
1951,12
1952,20
1953,13
1954,13
1955,9
1956,10
1957,13
1958,12
1959,11
1960,13
1961,14
1962,10
1963,10
1964,13
1965,10
1966,7
1967,10
1968,11
1969,10
1970,9
1971,8
1972,11
1973,11
1974,6
1975,7
1976,7
1977,6
1978,0
1979,8
1980,9
1981,0
1982,9
1983,10
1984,10
1985,13
1986,11
1987,8
1988,8
1989,12
1990,10
1991,12
1992,6
1993,7
1994,15
1995,6
1996,11
1997,8
1998,6
1999,9
2000,9
2001,8
2002,7
2003,13
2004,16
2005,9
2006,15
2007,14
2008,21
2009,12
2010,16
2011,12
2012,18
