year,Armida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,0
1911,5
1912,10
1913,7
1914,15
1915,20
1916,18
1917,18
1918,21
1919,23
1920,22
1921,23
1922,18
1923,25
1924,37
1925,34
1926,27
1927,40
1928,35
1929,40
1930,78
1931,74
1932,58
1933,51
1934,68
1935,57
1936,50
1937,51
1938,52
1939,45
1940,46
1941,58
1942,47
1943,35
1944,42
1945,46
1946,51
1947,52
1948,40
1949,57
1950,44
1951,56
1952,54
1953,47
1954,35
1955,39
1956,58
1957,39
1958,36
1959,41
1960,43
1961,26
1962,46
1963,39
1964,49
1965,24
1966,34
1967,29
1968,31
1969,27
1970,23
1971,35
1972,34
1973,31
1974,28
1975,35
1976,34
1977,22
1978,25
1979,37
1980,22
1981,30
1982,24
1983,20
1984,19
1985,13
1986,18
1987,21
1988,18
1989,18
1990,21
1991,12
1992,13
1993,19
1994,13
1995,9
1996,16
1997,10
1998,11
1999,9
2000,11
2001,12
2002,11
2003,0
2004,10
2005,12
2006,7
2007,0
2008,8
2009,8
2010,0
2011,0
2012,0
