year,Annamay
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,7
1910,5
1911,6
1912,6
1913,8
1914,12
1915,16
1916,21
1917,21
1918,18
1919,27
1920,16
1921,26
1922,38
1923,29
1924,31
1925,27
1926,22
1927,27
1928,13
1929,15
1930,21
1931,13
1932,15
1933,14
1934,20
1935,16
1936,14
1937,22
1938,14
1939,13
1940,11
1941,15
1942,15
1943,13
1944,9
1945,0
1946,10
1947,7
1948,0
1949,8
1950,0
1951,6
1952,6
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,7
1961,8
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,5
1975,0
1976,0
1977,0
1978,0
1979,8
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,8
2002,0
2003,0
2004,0
2005,8
2006,0
2007,0
2008,7
2009,0
2010,0
2011,7
2012,7
