year,Allisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,10
1961,0
1962,7
1963,16
1964,11
1965,13
1966,11
1967,15
1968,20
1969,16
1970,22
1971,14
1972,7
1973,19
1974,16
1975,8
1976,18
1977,14
1978,14
1979,25
1980,25
1981,22
1982,19
1983,19
1984,18
1985,30
1986,20
1987,27
1988,34
1989,32
1990,38
1991,42
1992,41
1993,43
1994,40
1995,38
1996,46
1997,47
1998,56
1999,48
2000,50
2001,41
2002,36
2003,32
2004,27
2005,19
2006,20
2007,41
2008,31
2009,26
2010,11
2011,11
2012,9
