year,Arletta
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,6
1888,5
1889,0
1890,7
1891,8
1892,9
1893,0
1894,7
1895,5
1896,7
1897,7
1898,8
1899,0
1900,12
1901,0
1902,8
1903,10
1904,9
1905,12
1906,10
1907,11
1908,7
1909,7
1910,12
1911,15
1912,7
1913,13
1914,19
1915,34
1916,27
1917,30
1918,46
1919,47
1920,35
1921,42
1922,35
1923,45
1924,48
1925,43
1926,48
1927,45
1928,46
1929,51
1930,58
1931,45
1932,55
1933,55
1934,44
1935,35
1936,42
1937,43
1938,56
1939,41
1940,47
1941,41
1942,39
1943,40
1944,30
1945,21
1946,30
1947,31
1948,34
1949,31
1950,32
1951,24
1952,40
1953,43
1954,37
1955,26
1956,34
1957,24
1958,33
1959,25
1960,21
1961,35
1962,19
1963,22
1964,27
1965,27
1966,10
1967,17
1968,17
1969,27
1970,12
1971,8
1972,19
1973,11
1974,13
1975,15
1976,8
1977,0
1978,10
1979,9
1980,6
1981,5
1982,0
1983,0
1984,0
1985,13
1986,0
1987,0
1988,7
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,6
2012,0
