year,Arlyne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,8
1913,7
1914,19
1915,21
1916,33
1917,27
1918,43
1919,38
1920,42
1921,67
1922,40
1923,47
1924,40
1925,37
1926,38
1927,40
1928,39
1929,24
1930,34
1931,35
1932,41
1933,33
1934,41
1935,32
1936,34
1937,29
1938,25
1939,23
1940,22
1941,23
1942,28
1943,20
1944,11
1945,18
1946,27
1947,23
1948,20
1949,13
1950,18
1951,12
1952,12
1953,7
1954,6
1955,10
1956,13
1957,5
1958,7
1959,8
1960,9
1961,0
1962,6
1963,0
1964,0
1965,5
1966,0
1967,0
1968,0
1969,6
1970,5
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,6
1990,0
1991,0
1992,6
1993,0
1994,0
1995,6
1996,8
1997,6
1998,8
1999,9
2000,5
2001,10
2002,10
2003,10
2004,9
2005,6
2006,6
2007,12
2008,0
2009,7
2010,11
2011,13
2012,5
