year,Arlean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,7
1895,0
1896,0
1897,6
1898,0
1899,0
1900,9
1901,9
1902,7
1903,7
1904,6
1905,6
1906,12
1907,8
1908,7
1909,8
1910,7
1911,12
1912,22
1913,20
1914,30
1915,27
1916,31
1917,24
1918,44
1919,34
1920,37
1921,39
1922,36
1923,39
1924,38
1925,37
1926,39
1927,31
1928,35
1929,33
1930,32
1931,40
1932,32
1933,28
1934,22
1935,29
1936,33
1937,37
1938,25
1939,19
1940,26
1941,20
1942,22
1943,27
1944,26
1945,26
1946,30
1947,25
1948,17
1949,23
1950,23
1951,22
1952,14
1953,30
1954,27
1955,29
1956,26
1957,23
1958,29
1959,24
1960,30
1961,25
1962,19
1963,16
1964,13
1965,12
1966,8
1967,6
1968,11
1969,0
1970,5
1971,5
1972,0
1973,8
1974,0
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,6
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
