year,Antoino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,0
1960,0
1961,0
1962,8
1963,0
1964,0
1965,0
1966,6
1967,6
1968,10
1969,10
1970,13
1971,10
1972,14
1973,10
1974,18
1975,12
1976,22
1977,15
1978,11
1979,28
1980,17
1981,17
1982,16
1983,20
1984,14
1985,13
1986,16
1987,15
1988,15
1989,14
1990,19
1991,10
1992,8
1993,11
1994,7
1995,10
1996,8
1997,5
1998,9
1999,8
2000,0
2001,9
2002,7
2003,6
2004,7
2005,0
2006,5
2007,8
2008,7
2009,0
2010,0
2011,0
2012,0
